experiment_id,operation_id,assigned_at,proyecto,asesor_id,canal,prioridad,riesgo_caida,risk_band,valor_esperado_en_riesgo,accion_recomendada,eligible,experiment_arm,assignment_score,holdout_reason,data_mode
riesgo_caida_action_impact_v1,OP_F1E04B5623,2026-07-05T01:23:32.267615+00:00,Alicanto,ASESOR_E5897908D5,sin_clasificar,P1,0.561072,high,24406.62,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.085892,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_2584CF737D,2026-07-05T01:23:32.267615+00:00,Sialia,ASESOR_DA48A4F817,sin_clasificar,P1,0.560033,high,44482.97,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.490132,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_B84F4F8F5B,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_1265C8A465,sin_clasificar,P1,0.559626,high,53643.76,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.543621,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_63739842E9,2026-07-05T01:23:32.267615+00:00,Edificio Urbanzen,ASESOR_E5897908D5,sin_clasificar,P1,0.55739,high,54562.89,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.946201,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_72AA546B39,2026-07-05T01:23:32.267615+00:00,Edificio Urbanzen,ASESOR_950BED165C,sin_clasificar,P1,0.557238,high,53876.06,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.315872,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_0F34610CF5,2026-07-05T01:23:32.267615+00:00,Edificio Urbanzen,ASESOR_CF9D39A66F,sin_clasificar,P1,0.55696,high,50349.91,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.405753,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_C0BA29CAE8,2026-07-05T01:23:32.267615+00:00,Edificio Urbanzen,ASESOR_950BED165C,sin_clasificar,P1,0.556764,high,48909.9,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.591881,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_66C78BE34A,2026-07-05T01:23:32.267615+00:00,Capadocia,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.5565,high,53582.57,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.413175,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_72F9F254EF,2026-07-05T01:23:32.267615+00:00,Tizón y Bueno,ASESOR_233077BA7F,sin_clasificar,P1,0.555031,high,36994.62,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.336824,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_D29B8F2BB3,2026-07-05T01:23:32.267615+00:00,Modena,ASESOR_233077BA7F,sin_clasificar,P1,0.553879,high,23678.34,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.947165,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_1B023CBF7E,2026-07-05T01:23:32.267615+00:00,Modena,ASESOR_E05C20E0FE,sin_clasificar,P1,0.553028,high,47283.92,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.364102,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_081DD41E60,2026-07-05T01:23:32.267615+00:00,Capadocia,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.552801,high,43755.93,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.142607,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_DEABCEF19C,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_F59A4378D8,sin_clasificar,P1,0.552649,high,18188.27,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.404748,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_4FDC41FAFB,2026-07-05T01:23:32.267615+00:00,Edificio Urbanzen,ASESOR_C6B4E60323,sin_clasificar,P1,0.552478,high,48875.36,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.070465,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_2D72F6E1AD,2026-07-05T01:23:32.267615+00:00,Capadocia,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.552474,high,52163.57,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.63698,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_9ED30AEC5F,2026-07-05T01:23:32.267615+00:00,Modena,ASESOR_E05C20E0FE,sin_clasificar,P1,0.552433,high,48890.3,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.677406,,real_source:ranking_operaciones_riesgo_caida.parquet
